# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|06|079|2007|61103|1|1|012|061|20180109|13:00|2.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|14:00|6.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|15:00|7.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|16:00|6.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|17:00|3.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|18:00|5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|19:00|9.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|20:00|7.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|21:00|10.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|22:00|8.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|23:00|7.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|00:00|3.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|01:00|2.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|02:00|2.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|03:00|2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|04:00|3.1|||||||||||||||
